ActivityID,Latitude,Longitude,SITE,Site_Name,Group_name,Submitted_by,Observation_date,DATE,Time,Light condition,Depth_metres,Water_temp_deg. C,Activity,Coral_No,Colour_Code_Lightest,Colour_Code_Darkest,Average_Colour,Coral_Type
7a23c581-ccf6-468b-99f1-eb1c21b9c889,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",CoralWatch Ambassadors,Cassie Nicole,2024-12-15T14:00:00Z,15/12/2024,2:30 pm,Full sunshine,0.5,26,Reef walking,10,E2,E5,3.5,Boulder corals
7a23c581-ccf6-468b-99f1-eb1c21b9c889,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",CoralWatch Ambassadors,Cassie Nicole,2024-12-15T14:00:00Z,15/12/2024,2:30 pm,Full sunshine,0.5,26,Reef walking,11,B4,D5,4.5,Branching corals
7a23c581-ccf6-468b-99f1-eb1c21b9c889,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",CoralWatch Ambassadors,Cassie Nicole,2024-12-15T14:00:00Z,15/12/2024,2:30 pm,Full sunshine,0.5,26,Reef walking,12,E4,E5,4.5,Branching corals
7a23c581-ccf6-468b-99f1-eb1c21b9c889,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",CoralWatch Ambassadors,Cassie Nicole,2024-12-15T14:00:00Z,15/12/2024,2:30 pm,Full sunshine,0.5,26,Reef walking,13,C1,C4,2.5,Branching corals
7a23c581-ccf6-468b-99f1-eb1c21b9c889,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",CoralWatch Ambassadors,Cassie Nicole,2024-12-15T14:00:00Z,15/12/2024,2:30 pm,Full sunshine,0.5,26,Reef walking,14,D2,D4,3,Branching corals
7a23c581-ccf6-468b-99f1-eb1c21b9c889,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",CoralWatch Ambassadors,Cassie Nicole,2024-12-15T14:00:00Z,15/12/2024,2:30 pm,Full sunshine,0.5,26,Reef walking,15,B4,B5,4.5,Branching corals
7a23c581-ccf6-468b-99f1-eb1c21b9c889,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",CoralWatch Ambassadors,Cassie Nicole,2024-12-15T14:00:00Z,15/12/2024,2:30 pm,Full sunshine,0.5,26,Reef walking,16,B4,D5,4.5,Boulder corals
7a23c581-ccf6-468b-99f1-eb1c21b9c889,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",CoralWatch Ambassadors,Cassie Nicole,2024-12-15T14:00:00Z,15/12/2024,2:30 pm,Full sunshine,0.5,26,Reef walking,17,E4,E5,4.5,Branching corals
8c667ca3-7439-445b-923b-7a53316a344c,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Susy James,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Cloudy,0.4,22,Reef walking,1,E4,E5,4.5,Branching corals
8c667ca3-7439-445b-923b-7a53316a344c,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Susy James,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Cloudy,0.4,22,Reef walking,2,E3,E4,3.5,Branching corals
8c667ca3-7439-445b-923b-7a53316a344c,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Susy James,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Cloudy,0.4,22,Reef walking,3,E3,E4,3.5,Branching corals
8c667ca3-7439-445b-923b-7a53316a344c,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Susy James,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Cloudy,0.4,22,Reef walking,4,E2,E3,2.5,Branching corals
8c667ca3-7439-445b-923b-7a53316a344c,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Susy James,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Cloudy,0.4,22,Reef walking,5,E5,E5,5,Boulder corals
8c667ca3-7439-445b-923b-7a53316a344c,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Susy James,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Cloudy,0.4,22,Reef walking,6,E4,E4,4,Boulder corals
8c667ca3-7439-445b-923b-7a53316a344c,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Susy James,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Cloudy,0.4,22,Reef walking,7,B4,B5,4.5,Branching corals
8c667ca3-7439-445b-923b-7a53316a344c,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Susy James,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Cloudy,0.4,22,Reef walking,8,B4,B5,4.5,Branching corals
8c667ca3-7439-445b-923b-7a53316a344c,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Susy James,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Cloudy,0.4,22,Reef walking,9,E5,E6,5.5,Branching corals
8c667ca3-7439-445b-923b-7a53316a344c,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Susy James,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Cloudy,0.4,22,Reef walking,10,E4,E5,4.5,Branching corals
8c667ca3-7439-445b-923b-7a53316a344c,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Susy James,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Cloudy,0.4,22,Reef walking,11,E5,E5,5,Branching corals
8c667ca3-7439-445b-923b-7a53316a344c,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Susy James,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Cloudy,0.4,22,Reef walking,12,E4,E5,4.5,Branching corals
8c667ca3-7439-445b-923b-7a53316a344c,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Susy James,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Cloudy,0.4,22,Reef walking,13,E4,E5,4.5,Branching corals
8c667ca3-7439-445b-923b-7a53316a344c,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Susy James,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Cloudy,0.4,22,Reef walking,14,E4,E5,4.5,Branching corals
8c667ca3-7439-445b-923b-7a53316a344c,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Susy James,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Cloudy,0.4,22,Reef walking,15,E4,E5,4.5,Branching corals
8c667ca3-7439-445b-923b-7a53316a344c,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Susy James,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Cloudy,0.4,22,Reef walking,16,E4,E5,4.5,Branching corals
8c667ca3-7439-445b-923b-7a53316a344c,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Susy James,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Cloudy,0.4,22,Reef walking,17,E4,E5,4.5,Branching corals
8c667ca3-7439-445b-923b-7a53316a344c,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Susy James,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Cloudy,0.4,22,Reef walking,18,E4,E5,4.5,Branching corals
8c667ca3-7439-445b-923b-7a53316a344c,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Susy James,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Cloudy,0.4,22,Reef walking,19,E4,E5,4.5,Boulder corals
8c667ca3-7439-445b-923b-7a53316a344c,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Susy James,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Cloudy,0.4,22,Reef walking,20,B4,B5,4.5,Branching corals
2e5cbbc7-68b8-43c8-96cd-06f823ec96f7,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Kari Taylor,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.5,22,Reef walking,1,E4,E5,4.5,Boulder corals
2e5cbbc7-68b8-43c8-96cd-06f823ec96f7,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Kari Taylor,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.5,22,Reef walking,2,B4,B5,4.5,Branching corals
2e5cbbc7-68b8-43c8-96cd-06f823ec96f7,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Kari Taylor,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.5,22,Reef walking,3,E4,E4,4,Branching corals
2e5cbbc7-68b8-43c8-96cd-06f823ec96f7,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Kari Taylor,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.5,22,Reef walking,4,B4,B5,4.5,Branching corals
2e5cbbc7-68b8-43c8-96cd-06f823ec96f7,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Kari Taylor,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.5,22,Reef walking,5,E4,E4,4,Branching corals
2e5cbbc7-68b8-43c8-96cd-06f823ec96f7,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Kari Taylor,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.5,22,Reef walking,6,B4,B5,4.5,Branching corals
2e5cbbc7-68b8-43c8-96cd-06f823ec96f7,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Kari Taylor,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.5,22,Reef walking,7,E5,E6,5.5,Branching corals
2e5cbbc7-68b8-43c8-96cd-06f823ec96f7,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Kari Taylor,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.5,22,Reef walking,8,D4,D5,4.5,Boulder corals
2e5cbbc7-68b8-43c8-96cd-06f823ec96f7,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Kari Taylor,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.5,22,Reef walking,9,B4,B5,4.5,Branching corals
2e5cbbc7-68b8-43c8-96cd-06f823ec96f7,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Kari Taylor,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.5,22,Reef walking,10,B4,B5,4.5,Branching corals
2e5cbbc7-68b8-43c8-96cd-06f823ec96f7,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Kari Taylor,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.5,22,Reef walking,11,E4,E5,4.5,Branching corals
2e5cbbc7-68b8-43c8-96cd-06f823ec96f7,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Kari Taylor,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.5,22,Reef walking,12,B3,B4,3.5,Boulder corals
2e5cbbc7-68b8-43c8-96cd-06f823ec96f7,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Kari Taylor,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.5,22,Reef walking,13,E4,E5,4.5,Branching corals
2e5cbbc7-68b8-43c8-96cd-06f823ec96f7,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Kari Taylor,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.5,22,Reef walking,14,D4,D5,4.5,Branching corals
2e5cbbc7-68b8-43c8-96cd-06f823ec96f7,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Kari Taylor,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.5,22,Reef walking,15,C3,B4,3.5,Boulder corals
2e5cbbc7-68b8-43c8-96cd-06f823ec96f7,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Kari Taylor,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.5,22,Reef walking,16,E4,E5,4.5,Branching corals
2e5cbbc7-68b8-43c8-96cd-06f823ec96f7,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Kari Taylor,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.5,22,Reef walking,17,B5,E5,5,Branching corals
2e5cbbc7-68b8-43c8-96cd-06f823ec96f7,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Kari Taylor,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.5,22,Reef walking,18,B5,E5,5,Branching corals
2e5cbbc7-68b8-43c8-96cd-06f823ec96f7,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Kari Taylor,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.5,22,Reef walking,19,D5,D6,5.5,Branching corals
2e5cbbc7-68b8-43c8-96cd-06f823ec96f7,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Kari Taylor,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.5,22,Reef walking,20,E4,E5,4.5,Branching corals
6ba8d875-d968-44ed-8bd9-ed79a19dbf08,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Robyn Sanders,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.4,22,Reef walking,1,B4,B5,4.5,Branching corals
6ba8d875-d968-44ed-8bd9-ed79a19dbf08,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Robyn Sanders,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.4,22,Reef walking,2,E4,E6,5,Branching corals
6ba8d875-d968-44ed-8bd9-ed79a19dbf08,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Robyn Sanders,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.4,22,Reef walking,3,E3,E4,3.5,Branching corals
6ba8d875-d968-44ed-8bd9-ed79a19dbf08,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Robyn Sanders,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.4,22,Reef walking,4,E3,E5,4,Branching corals
6ba8d875-d968-44ed-8bd9-ed79a19dbf08,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Robyn Sanders,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.4,22,Reef walking,5,B3,B4,3.5,Branching corals
6ba8d875-d968-44ed-8bd9-ed79a19dbf08,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Robyn Sanders,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.4,22,Reef walking,6,E2,E4,3,Boulder corals
6ba8d875-d968-44ed-8bd9-ed79a19dbf08,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Robyn Sanders,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.4,22,Reef walking,7,D2,D5,3.5,Branching corals
6ba8d875-d968-44ed-8bd9-ed79a19dbf08,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Robyn Sanders,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.4,22,Reef walking,8,E3,E5,4,Boulder corals
6ba8d875-d968-44ed-8bd9-ed79a19dbf08,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Robyn Sanders,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.4,22,Reef walking,9,E2,E5,3.5,Branching corals
6ba8d875-d968-44ed-8bd9-ed79a19dbf08,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Robyn Sanders,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.4,22,Reef walking,10,D3,D5,4,Branching corals
6ba8d875-d968-44ed-8bd9-ed79a19dbf08,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Robyn Sanders,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.4,22,Reef walking,11,E4,E5,4.5,Branching corals
6ba8d875-d968-44ed-8bd9-ed79a19dbf08,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Robyn Sanders,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.4,22,Reef walking,12,D3,D5,4,Boulder corals
6ba8d875-d968-44ed-8bd9-ed79a19dbf08,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Robyn Sanders,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.4,22,Reef walking,13,B3,B5,4,Branching corals
6ba8d875-d968-44ed-8bd9-ed79a19dbf08,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Robyn Sanders,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.4,22,Reef walking,14,D2,D5,3.5,Boulder corals
6ba8d875-d968-44ed-8bd9-ed79a19dbf08,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Robyn Sanders,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.4,22,Reef walking,15,D3,D5,4,Branching corals
6ba8d875-d968-44ed-8bd9-ed79a19dbf08,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Robyn Sanders,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.4,22,Reef walking,16,D3,D4,3.5,Branching corals
6ba8d875-d968-44ed-8bd9-ed79a19dbf08,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Robyn Sanders,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.4,22,Reef walking,17,D3,D5,4,Branching corals
6ba8d875-d968-44ed-8bd9-ed79a19dbf08,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Robyn Sanders,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.4,22,Reef walking,18,E5,E6,5.5,Branching corals
6ba8d875-d968-44ed-8bd9-ed79a19dbf08,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Robyn Sanders,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.4,22,Reef walking,19,E4,E6,5,Branching corals
6ba8d875-d968-44ed-8bd9-ed79a19dbf08,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Robyn Sanders,2024-11-18T14:00:00Z,18/11/2024,5:30 am,Broken cloud,0.4,22,Reef walking,20,D3,D5,4,Branching corals
1b9aac7e-42ff-41ed-a764-628a78308280,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Kaely Woods,2024-11-18T13:00:00Z,18/11/2024,5:30 am,Broken cloud,0.3,22,Reef walking,1,E4,E5,4.5,Branching corals
1b9aac7e-42ff-41ed-a764-628a78308280,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Kaely Woods,2024-11-18T13:00:00Z,18/11/2024,5:30 am,Broken cloud,0.3,22,Reef walking,2,E3,E4,3.5,Branching corals
1b9aac7e-42ff-41ed-a764-628a78308280,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Kaely Woods,2024-11-18T13:00:00Z,18/11/2024,5:30 am,Broken cloud,0.3,22,Reef walking,3,E4,E5,4.5,Boulder corals
1b9aac7e-42ff-41ed-a764-628a78308280,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Kaely Woods,2024-11-18T13:00:00Z,18/11/2024,5:30 am,Broken cloud,0.3,22,Reef walking,4,E4,E5,4.5,Branching corals
1b9aac7e-42ff-41ed-a764-628a78308280,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Kaely Woods,2024-11-18T13:00:00Z,18/11/2024,5:30 am,Broken cloud,0.3,22,Reef walking,5,E4,E5,4.5,Branching corals
1b9aac7e-42ff-41ed-a764-628a78308280,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Kaely Woods,2024-11-18T13:00:00Z,18/11/2024,5:30 am,Broken cloud,0.3,22,Reef walking,6,E4,E4,4,Boulder corals
1b9aac7e-42ff-41ed-a764-628a78308280,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Kaely Woods,2024-11-18T13:00:00Z,18/11/2024,5:30 am,Broken cloud,0.3,22,Reef walking,7,E4,E5,4.5,Branching corals
1b9aac7e-42ff-41ed-a764-628a78308280,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Kaely Woods,2024-11-18T13:00:00Z,18/11/2024,5:30 am,Broken cloud,0.3,22,Reef walking,8,E4,E4,4,Boulder corals
1b9aac7e-42ff-41ed-a764-628a78308280,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Kaely Woods,2024-11-18T13:00:00Z,18/11/2024,5:30 am,Broken cloud,0.3,22,Reef walking,9,E4,E6,5,Branching corals
1b9aac7e-42ff-41ed-a764-628a78308280,-23.440451,151.9174,North Beach,"Heron Island, North Beach, Great Barrier Reef (QLD), Australia",Heron Island Resort,Kaely Woods,2024-11-18T13:00:00Z,18/11/2024,5:30 am,Broken cloud,0.3,22,Reef walking,10,E4,E5,4.5,Boulder corals
